Name,step-1,step-2,step-3,step-4,step-5,step-6,step-7,step-8,step-9,step-10,step-11,step-12,step-13,step-14,step-15,step-16,step-17,step-18,step-19,step-20,step-21,step-22,step-23,step-24,step-25,step-26,step-27,step-28,step-29,step-30,step-31,step-32,step-33,step-34,step-35,step-36,step-37,step-38,step-39,step-40,step-41,step-42,step-43,step-44,step-45
Chicken Cordon Bleu,"salt, lemon juice, cumin, garlic and olive oil",Can also be place in a moderate oven until cooked,Melt butter in 8-inch saucepan,Melt stick of butter,Remove and keep warm,To same pan add crushed bouillon cube and garlic,"Sift the flour, cocoa, splenda, cornstarch and baking powder together in a bowl and mix to throughly combine",Roll up and secure with toothpick,Roll chicken in flour and sauté for about 8 minutes or until lightly browned and juices run clear,Add onion salt,Serve with tortilla chips,"Beat together sugar, flour, cornsyrup, vanilla and eggs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonstruck Eggs,"While the eggs are cooking, you may return the vegetables to the pan and push them to one side to reheat them if necessary",Let cool completely,"(Tip: If you place a lid over your pan after you crack the eggs, this will help the yolks cook faster",Combine broth and Worcestershire,Cook for about 10 minutes then flip the potatoes and put BBQ sauce on the flat side,Use the rest of the potatoes for the fourth layer,Serve eggs with the roasted peppers& onions on top of egg nests or on the side,"Add sliced red peppers, sliced onions, and crushed garlic and saute until vegetables are soft& tender, but not mushy",You may even need to add a bit more oil depending on your pan,Heat a small amount of olive oil in skillet on medium heat,Boil for 10 minutes until slightly softened,Pour into greased and floured 10-inch tube pan,Add milk,Immediately crack an egg into the nests of each slice of bread and cook until eggs are set to your liking,) The trick is to work quickly and also not to have heat set too high or you will burn your eggs/bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion-Cheese Bread,"Add biscuit mix, onion mixture, and 1/2 the cheese",Bake at 400°F degrees about 20 minutes or until toothpick inserted near the center comes out clean,"Melt remaining butter, drizzle over mixture",Cool slightly,"In separate bowl, combine ground beef and seasonings",Stir together milk and egg,Add some chopped parsley and grated cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pita Bread,Combine all other ingredients and heat until butter melts,"Combine yeast, sugar and 1/3 cup very warm water-give a quick stir and set aside for 5 minutes to activate yeast","Make a well in the flour/salt mixture and add the yeast, 1 cup warm water and the olive oil",Sift flour and salt together in a large bowl,Preheat oven to 500F degrees,"Bake, COVERED, at 350 F for 60-90 minutes","Cut dough into 12 pieces, form into rounds, roll out and place on a dusted baking sheet, cover and let rest for 45 minutes",),Place on top of chicken,",",Punch down and knead to smooth,cover and let stand 1 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon wrapped Chicken Livers,Set oven on broil,"Cool in pan for 5-10 minutes, then remove from pan and cool completely on rack","Place ribs, meaty side down, on large shallow pan and cover tightly with foil","Drain the peel, and return to the saucepan with the sugar, vanilla bean, and 125ml water",Sprinkle livers with garlic salt if using,Wrap each liver in a halved slice of bacon and secure witha toothpick,"Combine all ingredients, except dressing",Place Livers on a baking rack or sheet and broil 6-8 minutes on each side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungarian Beef-Noodle Goulash,The jelly will be VERY liquid at this stage,Heat oil in dutch oven and brown beef on all sides,"Add onions, paprika, salt, pepper, and beef broth","Place ribs, meaty side down, on large shallow pan and cover tightly with foil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Oven Fries,Bake at 350° for about 1 hour (about 40 minutes for the smaller pans),Add ketchup and next 3 ingredients,"If you want a lot, this recipe doubles well",mix well,"Broil for 2 minutes, or until golden brown",Turn potatoes over,"Microwave on HIGH until tender, about 10 min",Place a couple of miniature dreidels in centre if desired or Chanukah candles (can be lit when menorah is lit),Preheat broiler,Brush with remaining salad dressing and sprinkle with remaining parmesean,"add to creamed mixture alternating with cream of coconut, beginning and ending with flour mixture",Arrange in a microwave baking dish,sprinkle with 1/4 cup parmesean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very Quick Soft Breadsticks,Slice the hot dogs into bite size pieces and layer the pieces over the buns,"Roll into pencil shape, about 6 inch long",Peel and deseed the remaining 1/2 cucmber and cut into small thin matchsticks,Sprinkle with salt,Press remaining crumbs in bottorm of pan,Grease cookie sheet,Cut each biscuit in half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan Chicken Stew,"Add garlic, saute 1 minute",Add flour alternately with the buttermilk to creamed mixture beating well after each addition,"Stir in spinach, simmer 1 minute","Cover, reduce heat, simmer 10 minutes or until chicken is done",Place balls on a baking sheet and bake for 10-12 minutes or until hot and golden Serve with seafood cocktail sauce on the side or some other sauce of your choice,"Sauté sweet pepper and onion in olive oil in the same skillet over medium heat for about 5 minutes, stirring occasionally",Heat oil in a large non stick frypan over medium high heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Hummingbird Cake,Bake 50 minutes at 350 degrees,beat with spoon until smooth,"Beat eggs,add oil and vanilla",Set aside,Preheat oven to 400.,"By hand, stir in enough flour to make the dough  stiff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop Biscuits,Form 1/4 cup meat mixture into meatballs,"Place in a bowl, or a service plate, and add the butter sauce, and toss",Bring water to a boil in a large saucepan,"The dough for these biscuits is dropped into muffin tins instead of onto a baking sheet, but their final shape is still like that of traditional drop biscuits",Add pine nuts for 2 min,Bake at 450 degrees for 12 minutes or until golden,"Remove from pan immediately, place on a wire rack","Combine flour, baking powder, sugar, and 1/2 teaspoon salt in a bowl, cut in butter with a pastry blender or 2 knives until mixture resembles coarse meal",Spoon batter in 12 muffin cups coated with cooking spray,pour over meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parmesan Crusted Broiled Scallops,Brush scallops with butter,Broil 10 minutes or until done,Place scallops on a broiler pan coated with cooking spray,Sift in the dry ingredients,"Shape into a loaf and bake 45 min at 350, add steak sauce on top the last 10 minutes","Add beef and potatoes and reduce heat to medium, and press down to compress",Place the broiler pan on the second rack position to keep the scallops from burning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asparagus with Thyme,Bake at 400° for about 12 to 15 minutes or till lightly browned,Cool for 10 minutes,Snap off tough ends of asparagus,Preheat oven to 400 degrees,"Toss gently and bake at 400 degrees for 20 minutes, stirring once",Cool on rack for 15 minutes before removing from pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosemary Potatoes - Microwave,Microwave at medium high (70%) 45 seconds or until butter melts,Add remaining ingredients in order listed,"Add rosemary, salt, 1/4 teaspoon black pepper and potatoes, toss well",Remove from heat and stir in vanilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pork Chops in Honey-Mustard sauce,Sprinkle pork with salt and dash fresh ground pepper to taste,"Combine egg whites, cream of tarter, and salt in medium bowl","Add pork, cook for 5 minutes on each side or until browned",Stir in remaining ingredients and simmer 3 minutes,Mix the pumpkin and spices into the one cup of batter and then pour this onto the rest of the batter in the pie shell,"Add white wine, honey and mustard to pan, bring to a boil and cook 3 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curried Couscous,Work in fat with your fingers until mixture resembles coarse crumbs,"A French baguette, Brie cheese and Bosc pears round out the meal for a continental flair","Remove from heat, cover and let stand for 5 minutes","Gradually stir in the curry powder, allspice and couscous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Fajitas,"Top with sour cream, guacamole, and salsa",Return meat to pan,Stir in an air tight container,Bake in preheated 400 F oven for 10 minutes on each side or until fish is flaky (DO NOT OVERCOOK),Heat oil in a large skillet or wok,Place all ingredients in crock pot,"Add the water, chili powder, cumin, and Worcestershire sauce",Cover and bake for 30 minutes,"Substitution:  1 1/2 Habanero instead of Jalapeno makes this warm but not too hot For Making Texas Style Picante Sauce: Combine jalapeno  pepper, garlic, tomato paste, sugar, vinegar, alum and spices in blender  or food processor",Partially freeze meat for easier slicing,Fold sides and bottom in leaving the top open,"In bowl, stir together flour, sugar, baking powder and salt",Remove meat from pan,Place some of the meat in a warm tortilla leaving the bottom half free,"let butter melt, then toss to coat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinach with Lentils,",",",",",",",",",",Shape into round balls and cook until browned,"Add barley, carrots, zucchini, cabbage, water,parsley and bay leaf bring to boil",Combine all ingredients in a blender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oven Baked French Fries,Bake at 450°F for 13 minutes or until tender,Zap it all with a hand blender and check seasonings,Place potatoes in a medium bowl coated with cooking spray,You can Create your own Sweet Sour Sauce,Preheat oven to 450°F,"Add remaining oil to skillet, add shrimp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Sizzled Mushrooms,Reduce heat to medium,Pour into Graham Cracker Crust and sprinkle with peanuts,Bake at 350 degrees for 30-35 min,"Add mushrooms, crushed red pepper, garlic, and a dash of salt, saute 3 minutes","Add the broth and a dash of black pepper, and cook for 5 minutes, stirring occasionally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuna Melt on English Muffins for 2,Add chicken and let sit for at least an hour,"Divide evenly among muffin halves, sprinkle with cheese","Place on a baking sheet, broil 4 minutes or until golden",Drain clams and reserve liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awesome Bacon-Tomato Dip,"In the photo, I cross-cut Italian bread, drizzled with olive oil and briefly toasted",Also good served in a bread bowl with bread cubes to dip,"Garnish with shredded lettuce just before serving, if desired",Add all ingredients except parsley,Serve with whipped cream or ice cream,Serve with Townhouse crackers or Wheat Thins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberry Gingerbread,May be served with whipped cream for dessert,Pour about 1/2 of mixture into 9-inch casserole dish then cover with 1/2 bag of shredded cheese,"Combine flour, spices and baking soda, dredge blueberries with 2 Tbsp of mixture",brush chicken and vegetables with oil mixture,Place the breasts in a baking dish (one layer),"With mixer, beat together oil, 1 C sugar, salt and molasses",roll in flour mixture to coat,Beat in egg,Preheat oven to 350 degrees,Sprinkle top with remaining 2 Tbsp sugar,Do not stir until it boils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do at Home Onion Rings,Fry in hot oil 375* until desired shade of brown,Dip in batter,",","Garnish with lime slices, red pepper& cilantro",Serve with crackers or baguette thins,"Mix egg, oil, and milk on low speed of mixer for 1 minute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crock Pot Oniony Pork Chops With Creamy Mustard Sauce,"In a mixing bowl, cream butter and sugar",Preheat oven to 400F degrees,Combine all dough ingredients in your bread machine,place in bottom of slow cooker when browned,"Add flour and cook, stirring, for 1 minute",",","In same skillet, reduce heat to medium and saute onions until softened",Add vinegar and wine and cook until thickened,"In lg bowl mix butter, sugar and eggs well","when well combined, turn slow cooker off and pour sauce over chops on platter and serve immediately",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Skillet Stroganoff,"Combine steak and cornstarch in a small bowl, toss well","Cook rice according to package directions, omitting salt and fat",Shape mixture into 3\,Top with cheese,Remove steaks,"In small saucepan, bring butter and Coca-cola to a boil","While rice is cooking, cut steak diagonally across the grain into thin slices","Add the onion, and saute for 1 minute",Melt butter in pan over medium-high heat,"Add mushroom, cover and cook 2 minutes","Add beef broth, salt and pepper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa Dreams,Drop by tablespoonfuls on waxed paper to set--they are not baked,Boil for 1 minute,Toss with pasta and sprinkle with parmesan cheese,Remove from heat,"In large soup kettle, combine all ingredients",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon Patties,Place into medium mixing bowl& mash up with fork,"Form into patties& place in a pre-heated skillet, sprayed with a little non-stick spray","put in fridge until set, about 4 hours","Drain salmon well, and remove skin& bones",Mix water and cornstarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy Fish Stew,Taste and add salt and cayenne pepper to taste,Stir in parsley,"Combine all the ingredients, except the cinnamon in a saucepan, bring to a boil stirring frequently",Heat a wok or large skillet and add the oil,Bake at 400 degrees for 20 minutes,"Add the fish, and cook for 3 minutes or until fish is done",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Cornbread,Mix dry ingrediants in large bowl,Stir well,"Add olive oil and olives, and saute just until lightly browned",Cover and chill until ready to use,Add remaining ingrediants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato Crusted Snapper,"Add fish, cook 3 minutes on each side or until golden and fish flakes easily when tested with a fork","Coat chicken with mixture of flour, salt and pepper",Place the potato flakes in another shallow dish,"Replace the beans, add the rest of the ingredients and enough water to cover all the ingredients and simmer covered for an hour",Add hot sauce to taste,"Dip fillets in buttermilk mixture, dredge in potato flakes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savory Cheese &amp; Herb Biscuits,Mix all ingredients together and put in 8x8 glass baking dish,Preheat oven to 425 F degrees,"Stir in the black pepper, cayenne, salt, and cumin, and saute 2 or 3 minutes more",Roll out dough into a circle about 1/2 inch thick,Stir once or twice,Gently fold in buttermilk until well blended,Gather up scraps of dough and re-roll and cut out remaining biscuits,"In small bowl, stir soup and sour cream together",Just cut part of the top off so that you can clean easier,"On a lightly floured surface, gently knead dough 8 to 10 times",Lightly grease an oven baking sheet with olive oil,Place on prepared baking sheet,--------Andfor the batter---------,"The cut side of the sprouts should get nice and browned, with a nutty, buttery flavor enhanced by garlic",Dough will be slightly sticky,Add meat and brown on both sides,Coat beef strips with mixture of 1 Tablespoon flour and 1/2 teaspoon salt,Gather dough into a ball,Drain the ribs and add to flour mixture and toss well,"Return shanks to pan with whole carrots, swedes, potatoes, undrained crushed tomatoes, tomato paste, wine, rosemary and stock",,,,,,,,,,,,,,,,,,,,,,,,,
Papadams,"first allow them to dry by leaving them in the sun for a few hours or by placing them in a very low oven (less than 200F) for 1 to 2 hours, turning occasionally",add alternately with buttermilk to creamed mixture,"Remove from the heat and set aside in a medium bowl, covered",Knead the dough for about 5 minutes by hand or pulse for about 15 seconds in the food processor,Cut baked potatoes in half and scoop out within 1/4 inch of edge,"Stir together the flour, pepper, ground cumin seed, and salt in a large bowl or in the food processor",Sprinkle with cinnamon and dot with butter,"Gradually stir about one-fourth of hot mixture into the yolks, add to remaining hot mixture, stirring constantly",Blend until the dough can be packed together,The dough should be fairly stiff and dry,"The next step uses oil, so do not use your pastry cloth and rolling pin sleeve",Lightly oil the top of the slice and then roll out into a very thin circle about 6 or 7 inches in diameter,Place in a baking pan (your option),"they should not brown or bake, however",Cool them on a rack,"Mix tomatoes, corn, green onion, basil, parsley, balsamic vinegar, salt and pepper and honey mustard together",Add to Slow Cooker,Arrange sweet potatoes in an oblong baking dish,Put all the ingredients into the crock pot and set on low for 8-10 hours,Pour on the cream while the eggs are still liquid and transfer under a hot broiler for a few minutes until the top is golden brown,"If the dough sticks to your rolling pin, gently pull it off",Dust the tops of each papadam with cayenne pepper,Add ground beef,"Papadams must be rolled extremely thin, maximum 1/16 inch",Arrange chicken wings on a rack in a broiling pan and sprinkle with 1/4 tsp salt,"To prepare the papadams in an authentic manner, don't bake them","At this point, the papadams may be stacked flat and stored in an airtight container until needed",the dough should be smooth,,,,,,,,,,,,,,,,,
Swiss Cheese Onion Pie,Fill two 9\,"Serve with catsup, if desired","Mix eggs, cheese, milk, salt & pepper with the cooled onions",Sprinkle with coarse salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Bistro Steak Subs,Makes about 8 servings,Bring to boil,Gradually stir hot mixture into flour mixture,Serve sandwiches with reserved sauce for dunking,"In a small bowl, combine the garlic and oil, mix well",Melt butter in a large nonstick frypan over medium high heat,Bring to a low boil and cook until meat falls easily from the bone,"Divide the roast beef evenly among roll bottoms, top with roll tops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese Potato Casserole,Bake at 350 degrees for 25 to 30 minutes,Cool on wire rack,Serve immediately with a dry rose wine,Top with cheddar cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chili Cornbread Casserole,"Can be made a day in advance, add a little liquid when reheating","Put the oil in a saucepan and add onion& garlic, saute until soft",Preheat oven to temperature according to cornbread mix,"Spread chili in the bottom of the 8x8 pan, then spread the cornbread batter overtop",Bake as directed for cornbread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Creamy Crab Dip,"Combine salt, vinegar and water in a large saucepopt","Serve with crackers of your choice, potato chips, tortilla or taco chips",Drain out grease,"Stir in crabmeat, minced onion, lemon juice and Tabasco sauce","Pressure Cooker method:  When you add water to cooker, make sure it is under half full",Bake in preheated 350 F oven for 20 minutes or until sauce is bubbly,Whisk in the oil,You may consider adding about 4 Gherkin pickles chopped small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Dill Carrots,"Wash the chicken, coat it with the mix, cook the chicken","Add carrot, and saute for 2 minutes","Stir in broth, rind, juice, celery salt and 1/4 teaspoon black pepper","Cover, reduce heat to medium low and cook for 10 minutes or until tender, stirring occasionally",Pour over chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared Black Turtle Beans,Try to distribute an equal amount of liquid into each bag,"In mixer, blend sugar and margarine",Each bag yields 4 servings,cover surface of chocolate mixture with plastic wrap,Cover and bring to a boil,"Combine mayonnaise, mustard and italian seasoning",(May be frozen now,Freeze,Add beef and cook stirring continuously until no longer red,Set aside,To cook: pour off water from beans and place in 6-quart heavy kettle or dutch oven,Reduce heat but keep boiling at steady rate,add to skillet,Add remaining batter and then sprinkle remaining nut mixture over all,Add remaining ingredients and stir well,Squeeze out excess air and seal,"To use: Remove bag from freezer and allow to thaw in refrigerator for 24 hours, OR thaw bag in microwave according to manufacturer's directions, OR run warm water over bag to release contents from bag, then place frozen bean mixture in saucepan and heat over low flame until hot",Simmer until pork is heated through again,Allow to cool,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauced Chicken Breasts With Apples and Onions,In a small bowl,Place 2 inches apart on ungreased cookie sheet,Pour over the fish,Heat 1 teaspoon oil in a large nonstick frypan over medium high heat,"Cover, reduce heat, and simmer for 10 minutes or until chicken is done",Watch closely to ensure that they don't scorch,"Add apple and marjoram, saute for 5 more minutes","Remove from pan, keep warm",Heat 1 teaspoon oil in pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pork Cutlets Parmesan with Tomato Sauce,Sprinkle the cutlets with salt and pepper,When you are ready to bake the Puff Pancake heat the pan and melt the butter,"Add the oatmeal, cherries, chocolate, and toffee","Add broth, onion soup mix, water, tomatoes, bring to a boil, reduce heat simmer 5 minutes, add frozen vegetables, continue to simmer 10 minutes more",Stir in water,Heat olive oil in nonstick 10 inch skillet,Preheat the oven to 400 degrees,Simmer for 10 minutes,"Add rosemary, pepper flakes, salt and pepper",Drizzle with olive oil,Dip cutlets in egg mixture--then in breadcrumbs (pat the crumbs with a flat knife to help them stick),Cook briefly (do not brown),Reserve,"Stir sugar, cocoa, margarine and milk together in saucepan",Put mozzarella slices on top,Add tomatoes and bring to a boil,Add onion and sauté until transparent,Stir in sugar and oil,FOR TOMATO SAUCE---------------,"Lower the heat, you don<U+0092>t want the water to boil now",,,,,,,,,,,,,,,,,,,,,,,,,
Irene Stewart's Ham & Macaroni Casserole,Drop chocolate batter by teaspoons about 3-inches apart  on cookie sheet,Add ham,Add to boiling soup,Pour into a 2 quart greased casserole dish,Place all ingredients into bread machine pan in the order recommended by the manufacturer,"Heat together the soup, milk, cheddar cheese, celery salt, and Worcestershire sauce until bubbly, stirring frequently",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feta Cheese, Kale &amp; Red Onions","Add kale, salt, pepper half of the feta cheese and the broth",Add a tbsp of water as you are cooking them and it will steam the onions and keep them soft,"Add olives at the add-in beep, or 5 minutes before the end of the final knead",Cut up cheese in little cubes,In the same pan heat the oil and cook the garlic and onions for about 4 minutes until the onions are clear and the garlic is golden,Bake 1 1/2 hours,Coarsely chop the Kale,Pour over salad and mix gently,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauteed Swiss Chard,Spoon evenly over meat layer,",",",",HEAT oil in skillet,"Cover with aluminum foil and bake until soft, about 45 minutes",",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Tacos (And Fry Bread),Chill for a few hours,Serve over ice,"Fry in fat (about 375°) until golden and done on both sides, about 5 minutes",Remove from heat and add the cheese,"Give each guest a finger bowl filled with water and a slice of lemon, for cleaning their fingers after shelling the prawns, and provide lots of paper napkins!",Place hot fry bread on a plate,Mix the first 10 ingredients in a large sauce pan or skillet,Mix soup mix with soup,Remove from heat and set aside to cool,Spread a layer of refried beans,Top with meat sauce and shredded cheese,Drain on paper towels,"Mix in cream-style corn, ginger, curry powder, onion and garlic powder and milk",Pinch off fist-sized lumps and shape into a flat disk shape,Let sit 10 minutes to draw out water,Fry Bread:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creamed Chipped Beef on Toast,Melt the butter or margarine in a large skillet,Cut the beef and onions very fine,Serve over toast,Chill,Add this dry mixture to the moist ingredients a little at a time,Mix all ingredients except tomatoes and olives in slow cooker,It should thicken enough to be a good gravy consistency,Stir in breadcrumbs and allow to rest,First add onions for 1-2 minutes then add beef,"Season to taste, put on a dinner plate and sprinkle with cheese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricot Cranberry Sauce,Cover and refrigerate till well chilled,Bake at 350 F for 1 hour and 10 minutes or until a toothpick inserted into the centre comes out clean,Mix together the honey & mustard,"Heat through (if using fresh cranberries, wait until they start to pop)",In 2 qt,"Reduce heat and cook uncovered 10 minutes, stirring occasionally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crock Pot Amaretto Chicken,"Coconut Cream Sauce: Blend all ingredients, warm slightly and pour over kebabs",Fry until golden brown,Transfer to crock pot,Cover and cook on low for 6 to 8 hours,let stand 5 minutes,Serve with rice,Brown quickly in hot vegetable oil over medium high heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applesauce Oatmeal,Add sugar and stir,Stir to mix well,Garnish with chopped green onion and serve hot,"When the onions are caramelized add garlic, saute for 1 minute",Continue boiling for 3 minutes,Bring to a boil and reduce heat to just above medium,"Mix the water, oats, salt, cinnamon, ginger, and vanilla in medium sauce pan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carne Asada Soft Tacos,"Mix together eggs, mayo, OLD BAY, pepper, worcestershire sauce, and mustard, until creamy","Serve meat in tortillas with salsa, avocado, onion and cilantro",Transfer to a cutting board to rest,Bake for an additional 3-5 minutes or until cheese is melted,"Beat together until smooth--flour, 2 1/2 cups of sugar, baking powder, salt, vanilla, oil, eggs, and juice","Additional toppings to taste (I use jalapenos, pepperoncinis, tomato, spinach/lettuce)",Preheat grill,Dip chicken into dressing mixture,"Mix the flour, salt, nutmeg, baking soda and cinnamon together in a medium bowl and stir thoroughly",Sprinkle lime juice over steak and season both sides with salt and pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabulous Chicken Cacciatore,"Add the Worcestershire sauce, lemon juice, garlic, onion, and mushrooms",Sprinkle with toasted sesame seeds and serve,"Add chicken to sauce, cover and simmer for 45 minutes or until chicken is tender",In large dutch oven sauté bacon until brown,Serve over hot spaghetti,"Add cheese, salt and pepper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey Veg out Sandwiches,My mother uses the filling in tortillas and rolls them up instead of using the onion rolls,Bake at 375°F for 13-14 minutes or until light golden brown and puffy,Fill rolls with the drained vegetables,Take a thin slice from the top of each roll and scoop out the center leaving about 1/4 inch around the sides,There is no mistake in the recipe,"Cover and cook for 40 minutes, stirring occasionally",shake off excess,Cook under broiler until the cheese melts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny's Chicken Stuff,"Wash and pat chicken dry, place, side by side in a large baking pan at least 2 inches high",Melt butter and saute onion and barley,Top with sliced green onions and a touch of garlic powder and pepper,"Stir in lemon juice, if desired, just before serving",In a medium bowl whisk the 4 cans of soup together-add no extra liquid,"Dust the chicken with garlic powder, salt and pepper-a nice amount please",Place in the freezer for a minute or two to let the chocolate set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Lentil Pilaf,"Combine cream cheese, sugar and milk, mixing at medium speed on electric mixer until well blended",Stir,",","Cook for about 5 minutes over low heat, stirring constantly, until the green onion wilts Add the lentils, chicken broth, and garlic","Take care not to overcook, the lentils should have a crunch",Serve with whipped cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexican Tostados,Add refried beans,Cover and simmer for 5 minutes,Drain on paper towel,Cover and cook on low for 9 hours,Do not rinse the pot,I serve with the rice or noodles,Brown ground beef with onions and peppers,Cook tortillas in small amount of oil in small frying pan until golden brown on bottom,Simmer for another 5 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Split Pea Soup,"Cook for about 5 minutes, stirring constantly, until the onion is wilted and translucent","Add the garlic, stir and continue to cook for 1 minute",Bake for 40 minutes,Season with salt and pepper,"Stir in the split peas, then the seasonings, hot sauce and the broth",Drop corn mixture in spoonful lots into frypan,"Reduce the heat to low, cover, and simmer for about 1 hour, until the soup is fairly thick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Treacher's Fish,"Dust off any excess flour and allow pieces to air dry on waxed paper, about 5 minutes",Make waffle in your waffle maker with about 3/4 cup of batter per waffle,Melt butter in saucepan on low,Bake on cookie sheet for 10-13 minutes at 425.,Dip floured fillets into batter and drop into 425F oil in heavy saucepan using meat thermometer,Arrange on cookie sheet in 325F oven until all pieces have been fried,Brown about 4 minutes per side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotch Broth,Grill or broil lamb on skewers until desired degree of doneness is reached,"Simmer for about 10 minutes, or until the vegetables are tender","Add salt, pepper, and seasonings to taste",Add more water to adjust for any evaporation,Blend well and let sit 2 hours to overnight in the fridge,Cover and cook on low heat setting 8 or 9 hours or until veggies and beef are tender,"Bake for 25 mins and then sprinkle with cinnamon sugar mixture and continue to bake until toothpick comes out clean,about 15-20 more minutes",Discard the bones and return the meat to the soup,"In a large stockpot or Dutch oven, cover the lamb with cold water",",","Mix in chili powder and flour, stir for 3 minutes",Continue simmering,"Add the carrots, turnip, celery, and onion and cook stirring often for 10 minutes","Place the chicken on a tray and cook under a medium grill (broil) for 5 minutes on each side, or until cooked, brushing with any remaining marinade during the cooking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Kentucky Favorite Potato Salad,Slice remaining egg over potato salad and sprinkle with paprika,Cover with a tight fitting cover or foil and bake for 35 minutes or until all the liquid is absorbed and the chicken has an internal temperature of 175(f) or 79(c),"In small bowl mix mayo, sugar, vinegar, milk, celery seed and garlic salt",Add sugar and mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
