Name,step-1,step-2,step-3,step-4,step-5,step-6,step-7,step-8,step-9,step-10,step-11,step-12,step-13,step-14,step-15,step-16,step-17,step-18,step-19,step-20,step-21,step-22,step-23,step-24,step-25,step-26,step-27,step-28,step-29,step-30,step-31,step-32,step-33,step-34,step-35,step-36,step-37,step-38,step-39,step-40,step-41,step-42,step-43,step-44,step-45
French Onion Soup With Browned Garlic,Pour in broth and bring to a boil,"Add the onions, and reduce heat to medium",Season with pepper and salt,Stir in flour and cook for 2 minutes,"Stir in the garlic and continue to cook for 5-10 minutes , until garlic begins to look brown","Cook onions slowly, stirring frequently, for at least 20 minutes, until they begin to form a paste",Reduce heat and simmer for 20 minutes,"In a large, heavy stockpot over medium heat, cook sherry until bubbling","Ladle soup into bowls, and float a slice of toasted bread on top of each serving",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambled Egg Muffins,Bake at 350° for 20-25 minutes or until a knife inserted comes out clean,Preheat oven to 350°,Stir in sausage and cheese,Brown sausage,drain well,"In a bowl, beat eggs, then add onion, green peppers, salt, pepper and garlic powder",Spoon 1/3 cupfuls into greased muffin cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania Dutch Crumb Cake,Bake at 350° for 25-30 minutes or until cake is done,Pour into 2 well-buttered 10-inch pie pans,Cut in butter until mixture has the consistency of course meal or small peas,"Sift flour, baking power, salt, sugar and soda","Combine the eggs, milk and extracts and stire into the remainder of the dry blend",Brush the top of the dough w/ butter and sprinkle with the reserved crumb mixture,Reserve about 1 1/2 cups of this mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevy's Sweet Corn Tamalitos,"In a small bowl, mix the margarine, masa and sugar with mixer until light and fluffy, about 1 minute",Bring a medium saucepan of water to a boil,Keep pan tightly wrapped and steam for 50 minutes to 1 hour,"Add the remaining corn, cornmeal, baking powder, salt and milk","I do not know the temp I had the oven on, or how long I kept it inches If anyone tries it, please add that info","I have also made this in the oven, setting the pan in a water bath",Blend 1/2 the corn kernels with the water in a blender until smooth,Tightly cover with plastic wrap and set atop the saucepan of boiling water,Pour the mixture into an 8-inch baking dish,"Combine with margarine mixture, stirring well","Check water level often, until a toothpick inserted into the center comes out clean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental Green Beans,Cover cook over high heat for a few minutes until the water evaporates and the oils have coated the beans and they are hot Shake the pan as the beans cook,Garnish with sesame seed,"Dash beans in cold water to stop the cooking (do this the day ahead if you wish) Heat the oils and saute,over low heat, the garlic& ginger until you can smell that wonderful aroma (the garlic will be golden) Add beans, pepper flakes,soy and water","Steam beans for only a few minutes, you want them crisp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wise Tomato (Sage that is!),Saute the leeks& garlic until the leek is golden (medium heat),"Add tomatoes and seasoning, cook about 3-4 minutes (only until the tomatoe is heated through)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuna Casserole,Bake 30 minutes,Drain tuna and vegetables,Combine all ingredients in a 1 1/2 quart casserole dish and blend well,Preheat oven to 350°F,"Cook noodles according to package directions,  and drain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gremolata Green Beans,To make the gremolata:  The ingredients must be hand chopped with a knife,Steam the bean until crisp tender,and sprinkle with lemon juice,Slowly pour in the oil constantly stirring until it is well blended,"Stir together the zest, parsley, garlic and salt","While hot, toss with two tablespoons of \",It can be kept covered in the fridge for 3 days,Serve hot or at room temperature (the lemon juice will turn the beans brown so do not do this ahead of time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Apple Pear Compote,"Don't drown them, just a couple of tbsp at a time",Remove Cardamom seeds and serve,"Watch, you will probably have to add a little more water once or twice during the cooking so as not to scorch the fruit",Place all the ingredients in a saucepan and cook over low heat until the fruit is soft but not falling apart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Korma,"Heat oil over medium-high heat, and add cinnamon, cardamom and cloves","Add tomato sauce and water, cover and cook for 10 minutes","When the aroma is released, reduce heat, and add the onion and garlic, cook until onion is softened",Serve with rice or naan bread,Mix well so the spices cover the chicken,"Add chicken and cook for about 5 minutes, then add salt, ground cinnamon, ground cardamom, ground cloves and hot pepper","Add buttermilk, ground cumin and coriander, cover and cook for 5 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moong Sabzi (Lentil Vegetable Mix),"Add enough water to just about submerge the moong, cover the pan with a lid and leave it to cook on a low flame",Sprinkle the chopped corriander and serve hot with chappati or roti,"Add the moong dal and mix it well into the onion-tomato paste, add salt, let it fry for a few minutes",The mix should be dry and not liquid like Indian dal normally is,Add the tomato and a bit of salt and let it fry on a low flame until the water starts separating from the tomato,Add cumin seeds,Wait until they crackle before adding the chili,"When all the water has disappeared, check to see that the moong is soft enough to be eaten",Heat oil in a pan,"Now add onion, a pinch of salt, and saute on a low flame till the onion turns translucent",Stir the mixture occasionally to make sure that the water does not evaporate leaving the moong stuck to the bottom of the pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean Shrimp,Serve shrimp immediately with white rice if desired,toss to coat,Broil 1-2 minutes  or until shrimp are cooked through,"Whisk in oil, molasses and lime juice until smooth",Add shrimp,"Pour drippings from broiler pan over shrimp, if desired",Broil about 4 inches from heat for 2 minutes,Garnish with lime wedges,"Mix brown sugar, allspice, black pepper, onion powder, thyme, salt and cayenne in bowl",Arrange shrimp in single layer on broiler-pan rack,Turn shrimp over,"Cover and refrigerate for 10 minutes, stirring after 5 minutes",Heat broiler,Coat large broiler-pan rack with nonstick vegetable-oil cooking spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most Excellent Grilled Chicken,Combine all ingredients for marinade,Marinate chicken overnight,Grill as you usually would--7-8 minutes a side seems right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese Herb Bread,"Select the Basic or White Bread cycle, and press Start",Place ingredients in bread machine pan in the order suggested by the manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry Good Chicken,"Place chicken on a platter and pour the sauce over, serve",Heat oven to 375F degrees line a baking dish with foil,"Brush chicken all over with the sauce, place in a baking dish and bake for 20-30 minutes  (depending on the size and if boneless or bone in)",Simmer 5 minutes (you can do this ahead of time and put it in a jar in the fridge),When chicken is done heat the remaining sauce and stir in the blackberries cook about 2 minutes,"Whisk, over low heat, the red current jelly, vinegars and salt& pepper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice Pilaf,Bring to a boil,"then, reduce heat and cover skillet",In large skillet brown rice with the margarine,Cook stirring occasionally until all liquid is absorbed and rice is tender,"Add water and beef soup base, carrots, parsley, and onion to the rice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cachapas,Mix all the ingredients in a blender,"If not, add more corn or a few tablespoons of Jiffy Corn Muffins Mix (not gluten-free)","Pancakes should be served hot, and may be accompanied with cheese (feta cheese is a good option)","Let them cook on medium heat for about one minute on each side, or until small bubbles form on the top",Shape the mix into small pancakes approximately 1/2 inch thick and about 5 inches in diameter,The mix should become thick and heavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arepas De Queso Fritas,Cover with a damp cloth and set aside for 5 minutes,Mix the water and the egg yolk,(If there is too much \,"inside, you can remove it with a spoon, leaving only the outer shell)",Serve immediately--they don't keep and don't re-heat,Turn out onto crumpled absorbent paper and leave to cool slightly,"Fry until golden brown, turning regularly","Take a small ball of the dough, the size of an egg and mold into a flat circle, about 1 cm thick","Split them open (like a pita bread) and fill with cheese, ham, butter, honey or whatever you wish",Mix and kneed the dough for about 5 minutes until it is compact,"Meanwhile heat a deep fryer to 170ºC, or fill a frying pan with lots of oil and heat",In a large bowl mix the flour and the egg/water mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan de Jamon (ham bread),add the yeast and let stand for 15 minutes until it has a \,"Arange the ham, bacon, olives and the raisins (except for a small part at the end, so you can seal the bread up)",Serve cool,Bake at 350° F for 3/4 of an hour,Beat down on a table and put in an oiled bowl and cover with a damp cloth,Roll it up like a swiss roll and brush the\,"Pour the milk onto the flour, mix and add the yeast","Add the butter to the warm milk, the sugar and the salt",Can be kept in fridge for up to 4 days,Sprinkle with water and heat up on a low heat before serving,with some egg to seal it,Set aside for an hour,Make a dough and knead for 15 minutes,Coat with butter,Roll out the dough with a rolling pin,"In a bowl, mix the water and the sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tequenos,wide,"Combine the flour, oil, egg, salt and sugar in a bowl","While the dough is resting, cut the cheese into strips into a finger-like shape",",","While kneading, add a tablespoon or two of water",with the dough strips,",",Keep kneading until it does not stick to your hands,Let the dough rest for 1-2 hours,",",fingers\,with flour and fry them in oil,"At first it just makes a mess, but as you knead it it starts to take shape","Make sure you cover all the cheese and seal the dough, because otherwise the cheese will leak out of the dough when you are frying it","After you have wrapped the cheese in dough, dust the uncooked\",by 3\,",",They should be maybe 1/2\,Wrap the cheese\,"If you need to, take the dough out of the bowl and knead it on a floured cupboard, adding flour until the dough does not stick to your hands",,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Beans With Cranberries,Top with bacon bits,"Heat through (if using fresh cranberries, wait until they start to pop)",Cook beans to tender crisp,Stir in cranberries and honey,"adding orange peel before cooking, drain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Ginger / Orange Chicken,Serve,"Bake for 20-25 minutes until done, basting every 8 minutes",Blend together all the ingredients except the chicken,Brush the breasts all over with the marmalade mixture,Place in a baking dish lined with foil (easy cleanup),"If there is any sauce left, heat, and serve along side the chicken",Heat oven to 350°F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranberry Scones,"In a large bowl, measure flour, baking powder, baking soda and salt","Score the tops of both circles to make 8 wedges on each, if making for a buffet, for regular scones, score each circle into 4 wedges",Add buttermilk mixture and stir until soft dough forms,Cut in butter until mixture resembles small peas,"Mix in cranberries, sugar and orange rind",Bake scones for 15-20 minutes,"While still warm, brush with butter and sprinkle with icing sugar","Knead about 10 times Pat into two circles about 1 inch thick, place on ungreased cookie sheet","Using your hands, form dough into a large ball and place on floured surface",Preheat oven to 375 degrees,Beat buttermilk and egg in small bowl and set aside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dill Pickles,Place the washed cucumbers in the jar,Fill the jar to the brim with boiling water,Stand exposed to the light for 7 days,"Add the garlic, bay leaf, sugar, salt and vinegar",Refrigerate after opening,Seal,Add the dill to the top of the liquid,Sterilize a 1 liter jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZ Spaghetti Lasagna,Top each serving with 1/4 of the cheese mixture and serve,"Combine chopped parsley, olive oil and cheeses in a small bowl",Divide spaghetti between 4 deep soup plates,Add salt and freshly ground black pepper to taste,"Meanwhile, heat the spaghetti sauce in a small pot and keep warm",Boil until done,Drain cooked pasta and return to its pot,"Also, prepare topping",Add spaghetti sauce and toss well,"In a large pot of boiling salted water, add pasta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorful Broccoli Salad,In a small bowl mix sauce ingredients together until sugar is mostly dissolved,Pour sauce over veggie mixture and toss until completely covered,Chill at least 30 minutes before serving,Mix all top ingredients together in serving bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Vegetable Medley,Top with remaining cheese and onions,Bake uncovered for 5 minutes,Pour into a 1 quart baking dish and bake covered at 350° for 30 minutes,"In a mixing bowl, combine veggies, soup, 1/2 cup of cheese, sour cream, pimento and 1/2 cup of onions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asparagus Salad with Lime Vinaigrette,Then plunge them into ice cold water to stop cooking process,Drizzle vinaigrette over top,"Serve as an appetiser, using chives sprinkled on top as a garnish",Whisk all vinaigrette ingredients in a small jug,Snap woody ends from asparagus and place in a steamer for 4-5 minutes until they are crisp tender,Drain onto small towel and pat dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrambled eggs and olives,Add eggs to saucepan and cook until set,Add olives and cook for 1/2 minute,"Beat eggs, salt, pepper and hot pepper","Spray a medium saucepan with cooking spray (or use olive oil if you prefer), and cook onion until softened",Serve with pita bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikshuka (Scrambled eggs and tomatoes)(&#1588;&#1603;&#1588;&#1608;&#1603;&#1607;),Serve with pita bread,"Add tomatoes, salt, pepper and spices, and cook for 1 minute","Spray a medium saucepan with cooking spray (or use butter if you prefer, it will taste better that way), and cook the onion until it is softened","I have never measured the exact amounts i use here, these are approximate, so just adjust it to your personal taste","Add eggs, and cook until just set",Eggs should be red-orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Pork Chops,Preheat oven to 375 degrees F (190 degrees C),Cover and bake 30-45 minutes,Layer apples and cooked onion over chops,"Brown pork chops in remaining oil, two minutes on each side",Place chops in 8x12 inch baking dish,Heat oil in large skillet,"Saute onion in oil for 1 minute, or until tender",Remove onion and set aside,"In small bowl, combine brown sugar, mustard, cloves and water",sprinkle with salt and pepper,Pour over chops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yummy Corn,Cook corn according to package directions,Preheat oven to 350°F (175°C),"Spoon into a casserole dish and bake in preheated oven for 30 minutes, until lightly browned on top","Drain water, then mix in butter, cream cheese, garlic, sugar, salt, and parsley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauteed Scallops with Mustard,"Add cream, mustard and curry",Cook scallops 2 minutes on each side,Cook 2 minutes,Remove and keep warm,Saute spinach 1 minute and season to taste,Heat oil in skillet,Serve in a soup bowl,Add scallops to warm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tostones, or Fried Banana. (Venezuela)",remove from the heat,fry these cylinders until the banana is a pale yellow colour,cut into 2 cm cylinders,Serve hot with guasacaca sauce or garlic \,peel the banana,thick,place on a non-porous surface and using a glass or a plate you squash the plantain to make circles about half a Cm,Use salt to your own taste and fry until they are crispy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkin and Tomato Bake,"Add the pumpkin, fry it gently until it starts to turn transparent","When the moisture has reduced somewhat, spread the tomatoes, in neat rows, over the pumpkin pieces","Add the tomatoes, garlic, herbs and half of the parsley to the pan",Cook in boiling salted water for 2 or 3 minutes,Dot with butter,Brown the onions slowly,Preheat oven to 400 degrees and bake for 20 minutes or until nicely browned,Mix the remaining parsley with the crumbs and sprinkle evenly over the tomatoes and pumpkin,"Cook gently, just until the tomatoes start to collapse, turn once being careful to keep tomato slices unbroken",Place evenly in the bottom of a shallow baking dish,Remove any seeds from the pumpkin and cut into 3/4 inch strips,"Add a tablespoon of wine (or water) to the pan, whisk up the pieces and pour carefully over the tomatoes and pumpkin",Season well with salt and cayenne,Drain and dry thoroughly on paper towel,Stir in the sugar,Dice strips into about 1/2 inch cubes,Heat 2 tablespoons of the oil in a large fry pan,Heat the remaining oil,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickled Garlic with Hot Pepper,"Combine vinegar & sugar over medium heat, stirring until the sugar dissolves, bring to a boil and boil 5 minutes Add Garlic and hot peppers,also add sweet red pepper if using","Release air bubbles, ensure the rim is clean and seal the jars",of the top of the jar,Let the pickled garlic rest for 2 weeks and believe me you will enjoy,"Put a hot pepper into each sterilized jar, add the cloves of garlic to within 1\",Bring to a boil and boil 5 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy tuna & rice muffinettes,Divide rice mixture evenly among cups,"Loosen with spatula, and place on serving platter",In a small mixing bowl combine all ingredients for tangy butter sauce,"Bake at 375 for fifteen minutes, or until lightly browned",Stir in eggs and milk,Top muffinettes with sauce,"In a large mixing bowl, combine all ingredients for muffinettes except eggs and milk",Spray six muffin cups with non-stick cooking spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broccoli Puff,Stir in the drained broccoli,Pour mixture in 1-1/2 quart baking dish,Cook and drain the broccoli,Preheat oven to 400°F,"In the meantime, melt butter in a frying pan, toss in the croutons until butter is absorbed",Add buttered croutons to baked broccoli the last 5 minutes of baking time,"Combine undiluted soup, eggs, mayonnaise, cheese, onions, salt and pepper",Note: This dish is always better the next day,Bake at 400°F for 25 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliced Steak with Roasted-corn Salsa,"While steak is standing, reheat corn mixture over moderate heat, stirring occasionally",Spoon corn on top of sliced steak and pour over any accumulated juices,"Cook white part of scallions in butter with garlic, 1 teaspoon salt, 1/2 teaspoon each cumin and chili powder, and 1/4 teaspoon pepper in skillet over moderate heat, stirring, until scallions are tender, 3-4 minutes","Make corn salsa: Heat a dry large cast-iron skillet over moderately high heat until hot, then pan-roast corn, stirring occasionally, until golden brown, 8-10 minutes","Grill, turning once, until an instant-read thermometer inserted horizontally into thickest part of meat registers 130°F, 18-20 minutes  total for medium-rare",Transfer to a bowl,"Remove from heat and stir in corn, tomatoes, and jalapeños",Prepare grill for cooking,"Grill steak: Combine remaining 1/2 teaspoon salt, 1 teaspoon cumin, 1/2 teaspoon chili powder, and 1/4 teaspoon pepper and sprinkle on both sides of steak",Stir in cilantro and scallion greens,Accompaniment: lime wedges,Transfer steak to a grooved cutting board and let stand 5-10 minutes  before slicing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken With Olives,"(My cast iron dutch oven works well) Remove the chicken and add the sliced onions, green pepper and garlic to the pan, soften over lowered heat for 5 minutes","Taste, season and cover","Add the olives and anchovy fillets, if using, for about the last 10 minutes of cooking time",Brown the chicken pieces quickly with the whole onions in very hot oil in flameproof casserole,Place dutch oven in preheated oven at 350°F for about 55 minutes until chicken is done,"Cook gently, stove top, until chicken is done, or",Check seasoning and serve with rice and a tossed green salad,"Return the chicken to the pan, add the tomatoes, herbs, saffron or turmeric, tomato paste and wine or stock",Halfway through cooking turn the chicken pieces and stir the pan contents,"The chicken should be lightly sauced, not stewed","If the sauce is very thin, cook uncovered for the rest of the cooking time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butternut Squash with Onions and Pecans,Add squash and toss to coat,Cover,Transfer mixture to bowl,Serve,Toast at 350 degrees F (175 degrees C) for 5-8 minutes,Can be prepared 4 hours ahead,Season to taste with salt and pepper,Sprinkle with remaining pecans and parsley,Cut into 1/2 inch cubes,Rewarm over medium heat before continuing,Place pecans on an ungreased baking sheet,Melt butter or margarine in a heavy large skillet over low heat,"Peel the squash, and remove the seeds","Add onion and saute until very tender, about 15 minutes",There will be about 6 cups squash,Stir in half of the pecans and half of the parsley,Let stand at room temperature,"Cook until squash is tender but still holds it shape, stirring frequently, about 15 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scrambled Eggs, Not Runny, Not Watery, Hard Scrambled Eggs","When butter is hot pour in the eggs, stirring continually with a *METAL* spoon",Dollop your eggs onto the bread and splash a little Worcestershire sauce over them,Heat the butter until melted in a *VERY* heavy based pan,Toast the bread and butter it,Eat immediately,Stir until cheese is melted,Break eggs and whisk until mixed,When there is no liquid left turn the heat down low and add the cheese,"Mix milk, cornflour, Worcestershire sauce, Tabasco, salt, pepper and mustard together",Whisk in the milk mix,Go around the edges and then scrape the bottom of the pan,The eggs will coagulate and thicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buttermilk Fried Chicken,Place chicken skin side down into the pan,The internal temperature should be right around 180 degrees,"Combine salt, paprika, garlic powder, and cayenne pepper",Place chicken pieces into a plastic container and cover with buttermilk,Do not allow oil to go over 325 degrees F,(Be careful to monitor shortening temperature every few minutes),"Cook chicken until golden brown on each side, approximately 10-12 minutes  per side",Liberally season chicken with this mixture,"Then, dredge chicken in flour and shake off excess (by seasoning before you flour, you trap the seasoning under the flour coating, and you use a lot less seasoning than if you tried to put it in the flour and hope it catches on the chicken)",Cover and refrigerate for 12-24 hours,"s a gas oven, which is very moist and will ruin your beautiful chicken crust!","Put thighs in the center (they take longer to cook and can use the extra center heat), and breast and legs around the edge of the pan",The oil should come half way up the pan once the chicken is added,Melt enough shortening (over low heat) to come just 1/8-inch up the side of a 12-inch cast iron skillet or heavy fry pan,"Drain chicken on a rack over a sheet pan, NOT on paper towels or brown paper bags which just cause the chicken to soak in their own oil","If you need to hold the chicken before serving, cover loosely with foil but avoid holding in a warm oven, especially if it?",Drain chicken in a colander,Once shortening liquefies raise heat to 325 degrees F,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curried Cream Cheese and Chutney Party Sandwiches,cover with remaining bread slices,"Spread outside edges of bread with butter, and roll in remaining chopped pecans","Trim crusts, and cut sandwiches in half diagonally","Serve immediately, or store, covered with damp paper towels, in an airtight container in refrigerator","Add curry powder, garlic, chutney, and 1 cup pecans, beating until blended Spread cheese mixture on half of bread slices","Beat cream cheese, butter, and whipping cream at medium speed with an electric mixer until creamy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fahdreiteh Chicken,Place the chicken pieces in the marinade and turn to cover well,Bake uncovered for approximately one hour at 250 degrees Celsius,"Prepare a marinade with the crushed garlic, paprika, sea salt, salt, oil and soy sauce","Cover the dish and place in the refrigerator for 24 hours (or 16, at least)",Clean the chicken well and wipe dry,Let the mixture rest of 20 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet and Very Gooey Chicken,"In a saucepan cook the margarine, honey, mustard and curry together",Reheat covered,Simmer for a couple of minutes,Baste every thirty minutes,"Cook at 350 degrees Fahrenheit for two hours– the longer it cooks the thicker, darker, gooier and delicious the chicken gets",Place the chicken in a baking pan and pour the sauce over the chicken pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken in Apple and Garlic,Saute the onion,Shake the chicken in the bag until it is well coated with the seasoned flour,Remove and drain,Pour into an ovenproof dish and cook in a medium oven (180 degrees Celsius) for about 45 minutes,"Add the rest of the seasonings, orange peel and chicken",Heat the oil in a heavy saucepan and saute the chicken on all sides,Add the apple juice and garlic,"Place the salt, pepper and mustard powder in a plastic bag with the flour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mussels in White Wine and Garlic,Stir in herbs and butter,Simmer 5 minutes,"Add mussels, cover, and increase heat to high","In a large stockpot set over medium heat, combine wine, shallots, garlic, and salt","Using your fingers or paring knife, remove beards (strings that hang from the mussel shells), and discard",Remove from heat,Rinse and scrub mussels under cold water,Serve immediately,Divide mussels and broth among four bowls,"Cook until all mussels are open, about 5 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey Mustard Curry Chicken,Place chicken pieces in prepared pan,Preheat oven to 175C (about 350F),Combine all ingredients and pour over chicken,"Bake, covered for about 2 hours in oven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepper Medley,Stir-fry in oil with the onion until the onion becomes translucent,Remove from heat and serve,Add the garlic and fry 1 minute longer,Cut the peppers into strips,Stir-fry for one minute longer,"Add the brown sugar, sesame seeds and seasonings",Peel the carrot and cut into very thin strips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy Red Beans and Rice,Continue to cook until pepper and onion are done,Add crushed tomatoes and pepper and onion mixture to pot with rice,Simmer until heated through and most of liquid has been absorbed by rice,"Combine vegetable oil, bell pepper, onion, garlic, salt, pepper, and chili powder in large frying pan and sauté until pepper and onion are almost done",Prepare rice according to package directions,Add kidney beans and liquid to pepper and onion mixture,Serve topped with shredded cheddar cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chow Yuk,Saute the turkey strips in a little oil until browned,Stir-fry until the onion becomes translucent,Serve with plain white rice,"Add the brown sugar, salt and soy sauce, cook for an additional 10 minutes until ready","Add the celery, onion, mushrooms and water chestnuts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesecake Kugel,Mix the cinnamon and sugar together and sprinkle on top,Top with the remaining melted butter,Add the cooked noodles and the raisins (if using),"In a large mixing bowl, combine the cheese, sour cream, milk and half of the melted butter",Turn into a large buttered pan or into two smaller ones (this makes a lot of kugel!),Beat the eggs together with the sugar and vanilla and add to the cheese mixture,May be frozen and reheated,Bake at 180 degrees Celsius for approximately one hour or until lightly browned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crock Pot Brisket,Slice and serve,Cook on high for 8 hours or overnight on low,Mix all ingredients except for the brisket,Place the brisket into the crock pot and pour the cola mixture over the meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slow-Cooker Beef Stew,"Rehydrate tomatoes as directed on package, drain and coarsely chop (or use canned undrained)",Whisk together 1/4 cup water and the flour and gradually stir into beef mixture,Cover and cook on low heat setting 8 or 9 hours or until veggies and beef are tender,Remove bay leaf,Mix tomatoes and remaining ingredients except 1/4 cup water and the flour in a crock pot slow cooker,Cover and cook in 3.5-4 quart crock pot on high heat setting 10-15 minutes  longer or until slightly thickened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Barley Veggy Soup - Crock Pot,Cover and cook on low setting 8-9 hours  or until veggies and barley are tender,Mix all ingredients in 4-5 quart crock pot slow cooker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef and Potatoes With Rosemary and Thyme - Crock Pot,"Mix mustard, rosemary, thyme, salt and pepper",To serve spoon beef juices from slow cooker over beef and veggies,Sprinkle onion over beef,Trim excess fat from beef,"Place beef in slow cooker, it will overlap vegetable slightly",Arrange potatoes and carrots around outer edge in 4-5 quart crock pot slow cooker,Spread evenly over beef,Remove beef and vegetable from slow cooker with slotted spoon,Slice beef,Cover and cook on low heat setting 8-9 hours  or until beef and veggies are tender,Freeze leftovers,Pour broth evenly over beef and vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potatoes With Mustard and Honey,",",",",Peel the potatoes and cut into cubes of about 3 centimeters (about 1 1/2\,",",",",",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oven Fried Sweet Potatoes,"Sprinkle the potatoes with oil, tossing the potatoes to disburse it",Cut the potatoes into thin wedges,Preheat oven to 375 degrees F,"Then sprinkle with pepper, salt, paprika and cayenne pepper",Set aside,Drain the potatoes and dry them with paper towels,Transfer the potatoes to a large bowl,Pile them in a bowl and cover them with cold water,Sprinkle potatoes with garlic and continue cooking for another 15-20 minutes  or until crisp and brown,Press the potatoes with paper towels to remove all water,Serve immediately,Turn over the potatoes,Coat a baking sheet with vegetable spray,Let rest 15 minutes,Bake the potatoes at 375 degrees F for 20 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pasta with Mushrooms, Ham and Peas","cook and stir until tender, about 5 minutes",drain,"cook and stir until hot, about 3 minutes","Just before serving, add grated cheese","In a large skillet (preferably nonstick), heat oil over medium-high heat",Add onion,Stir in mushrooms and ham,"Meanwhile, cook pasta according to package directions","Cook and stir until mushrooms are tender, about 8 minutes","Add mushroom-ham mixture, peas, chicken broth and pepper",return pasta to saucepan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
